PostCode,Distributor,AreaCode,AreaCodeLetter
AB10,Scottish Hydro Electric,17,_P
AB11,Scottish Hydro Electric,17,_P
AB12,Scottish Hydro Electric,17,_P
AB13,Scottish Hydro Electric,17,_P
AB15,Scottish Hydro Electric,17,_P
AB16,Scottish Hydro Electric,17,_P
AB1,Scottish Hydro Electric,17,_P
AB2,Scottish Hydro Electric,17,_P
AB3,Scottish Hydro Electric,17,_P
AB21,Scottish Hydro Electric,17,_P
AB22,Scottish Hydro Electric,17,_P
AB23,Scottish Hydro Electric,17,_P
AB24,Scottish Hydro Electric,17,_P
AB25,Scottish Hydro Electric,17,_P
AB30,Scottish Hydro Electric,17,_P
AB31,Scottish Hydro Electric,17,_P
AB32,Scottish Hydro Electric,17,_P
AB33,Scottish Hydro Electric,17,_P
AB34,Scottish Hydro Electric,17,_P
AB35,Scottish Hydro Electric,17,_P
AB36,Scottish Hydro Electric,17,_P
AB37,Scottish Hydro Electric,17,_P
AB38,Scottish Hydro Electric,17,_P
AB41,Scottish Hydro Electric,17,_P
AB42,Scottish Hydro Electric,17,_P
AB43,Scottish Hydro Electric,17,_P
AB44,Scottish Hydro Electric,17,_P
AB45,Scottish Hydro Electric,17,_P
AB51,Scottish Hydro Electric,17,_P
AB52,Scottish Hydro Electric,17,_P
AB53,Scottish Hydro Electric,17,_P
AB54,Scottish Hydro Electric,17,_P
AB55,Scottish Hydro Electric,17,_P
AB56,Scottish Hydro Electric,17,_P
DD1,Scottish Hydro Electric,17,_P
DD2,Scottish Hydro Electric,17,_P
DD3,Scottish Hydro Electric,17,_P
DD4,Scottish Hydro Electric,17,_P
DD5,Scottish Hydro Electric,17,_P
DD6,Scottish Hydro Electric,17,_P
DD7,Scottish Hydro Electric,17,_P
DD8,Scottish Hydro Electric,17,_P
DD9,Scottish Hydro Electric,17,_P
DD10,Scottish Hydro Electric,17,_P
DD11,Scottish Hydro Electric,17,_P
FK15,Scottish Hydro Electric,17,_P
FK16,Scottish Hydro Electric,17,_P
FK17,Scottish Hydro Electric,17,_P
FK18,Scottish Hydro Electric,17,_P
FK19,Scottish Hydro Electric,17,_P
FK20,Scottish Hydro Electric,17,_P
FK21,Scottish Hydro Electric,17,_P
G83,Scottish Hydro Electric,17,_P
G84,Scottish Hydro Electric,17,_P
HS1,Scottish Hydro Electric,17,_P
HS2,Scottish Hydro Electric,17,_P
IV1,Scottish Hydro Electric,17,_P
IV2,Scottish Hydro Electric,17,_P
IV3,Scottish Hydro Electric,17,_P
IV4,Scottish Hydro Electric,17,_P
IV5,Scottish Hydro Electric,17,_P
IV6,Scottish Hydro Electric,17,_P
IV7,Scottish Hydro Electric,17,_P
IV8,Scottish Hydro Electric,17,_P
IV9,Scottish Hydro Electric,17,_P
IV10,Scottish Hydro Electric,17,_P
IV11,Scottish Hydro Electric,17,_P
IV12,Scottish Hydro Electric,17,_P
IV13,Scottish Hydro Electric,17,_P
IV14,Scottish Hydro Electric,17,_P
IV15,Scottish Hydro Electric,17,_P
IV16,Scottish Hydro Electric,17,_P
IV17,Scottish Hydro Electric,17,_P
IV18,Scottish Hydro Electric,17,_P
IV19,Scottish Hydro Electric,17,_P
IV20,Scottish Hydro Electric,17,_P
IV21,Scottish Hydro Electric,17,_P
IV22,Scottish Hydro Electric,17,_P
IV23,Scottish Hydro Electric,17,_P
IV24,Scottish Hydro Electric,17,_P
IV25,Scottish Hydro Electric,17,_P
IV26,Scottish Hydro Electric,17,_P
IV27,Scottish Hydro Electric,17,_P
IV28,Scottish Hydro Electric,17,_P
IV30,Scottish Hydro Electric,17,_P
IV31,Scottish Hydro Electric,17,_P
IV32,Scottish Hydro Electric,17,_P
IV36,Scottish Hydro Electric,17,_P
IV40,Scottish Hydro Electric,17,_P
IV41,Scottish Hydro Electric,17,_P
IV42,Scottish Hydro Electric,17,_P
IV43,Scottish Hydro Electric,17,_P
IV44,Scottish Hydro Electric,17,_P
IV45,Scottish Hydro Electric,17,_P
IV46,Scottish Hydro Electric,17,_P
IV47,Scottish Hydro Electric,17,_P
IV48,Scottish Hydro Electric,17,_P
IV49,Scottish Hydro Electric,17,_P
IV51,Scottish Hydro Electric,17,_P
IV52,Scottish Hydro Electric,17,_P
IV53,Scottish Hydro Electric,17,_P
IV54,Scottish Hydro Electric,17,_P
IV55,Scottish Hydro Electric,17,_P
IV56,Scottish Hydro Electric,17,_P
KA27,Scottish Hydro Electric,17,_P
KA28,Scottish Hydro Electric,17,_P
KW1,Scottish Hydro Electric,17,_P
KW2,Scottish Hydro Electric,17,_P
KW3,Scottish Hydro Electric,17,_P
KW5,Scottish Hydro Electric,17,_P
KW6,Scottish Hydro Electric,17,_P
KW7,Scottish Hydro Electric,17,_P
KW8,Scottish Hydro Electric,17,_P
KW9,Scottish Hydro Electric,17,_P
KW10,Scottish Hydro Electric,17,_P
KW11,Scottish Hydro Electric,17,_P
KW12,Scottish Hydro Electric,17,_P
KW13,Scottish Hydro Electric,17,_P
KW14,Scottish Hydro Electric,17,_P
KW15,Scottish Hydro Electric,17,_P
KW16,Scottish Hydro Electric,17,_P
KW17,Scottish Hydro Electric,17,_P
KY13,Scottish Hydro Electric,17,_P
PA20,Scottish Hydro Electric,17,_P
PA21,Scottish Hydro Electric,17,_P
PA22,Scottish Hydro Electric,17,_P
PA23,Scottish Hydro Electric,17,_P
PA24,Scottish Hydro Electric,17,_P
PA25,Scottish Hydro Electric,17,_P
PA26,Scottish Hydro Electric,17,_P
PA27,Scottish Hydro Electric,17,_P
PA28,Scottish Hydro Electric,17,_P
PA29,Scottish Hydro Electric,17,_P
PA30,Scottish Hydro Electric,17,_P
PA31,Scottish Hydro Electric,17,_P
PA32,Scottish Hydro Electric,17,_P
PA33,Scottish Hydro Electric,17,_P
PA34,Scottish Hydro Electric,17,_P
PA35,Scottish Hydro Electric,17,_P
PA36,Scottish Hydro Electric,17,_P
PA37,Scottish Hydro Electric,17,_P
PA38,Scottish Hydro Electric,17,_P
PA39,Scottish Hydro Electric,17,_P
PA40,Scottish Hydro Electric,17,_P
PA41,Scottish Hydro Electric,17,_P
PA42,Scottish Hydro Electric,17,_P
PA43,Scottish Hydro Electric,17,_P
PA44,Scottish Hydro Electric,17,_P
PA45,Scottish Hydro Electric,17,_P
PA46,Scottish Hydro Electric,17,_P
PA47,Scottish Hydro Electric,17,_P
PA48,Scottish Hydro Electric,17,_P
PA49,Scottish Hydro Electric,17,_P
PA60,Scottish Hydro Electric,17,_P
PA61,Scottish Hydro Electric,17,_P
PA62,Scottish Hydro Electric,17,_P
PA63,Scottish Hydro Electric,17,_P
PA64,Scottish Hydro Electric,17,_P
PA65,Scottish Hydro Electric,17,_P
PA66,Scottish Hydro Electric,17,_P
PA67,Scottish Hydro Electric,17,_P
PA68,Scottish Hydro Electric,17,_P
PA69,Scottish Hydro Electric,17,_P
PA70,Scottish Hydro Electric,17,_P
PA71,Scottish Hydro Electric,17,_P
PA72,Scottish Hydro Electric,17,_P
PA73,Scottish Hydro Electric,17,_P
PA74,Scottish Hydro Electric,17,_P
PA75,Scottish Hydro Electric,17,_P
PA76,Scottish Hydro Electric,17,_P
PA77,Scottish Hydro Electric,17,_P
PA78,Scottish Hydro Electric,17,_P
PA80,Scottish Hydro Electric,17,_P
PA81,Scottish Hydro Electric,17,_P
PA82,Scottish Hydro Electric,17,_P
PA83,Scottish Hydro Electric,17,_P
PA84,Scottish Hydro Electric,17,_P
PA85,Scottish Hydro Electric,17,_P
PA86,Scottish Hydro Electric,17,_P
PA87,Scottish Hydro Electric,17,_P
PA88,Scottish Hydro Electric,17,_P
PH1,Scottish Hydro Electric,17,_P
PH2,Scottish Hydro Electric,17,_P
PH3,Scottish Hydro Electric,17,_P
PH4,Scottish Hydro Electric,17,_P
PH5,Scottish Hydro Electric,17,_P
PH6,Scottish Hydro Electric,17,_P
